nohup: ignoring input
GPU: True
Data set: LandUse-21
MissRate: [0.1, 0.3, 0.5, 0.7]
shuffle
[ 1  1  1 ... 21 21 21]
[ 5  8 12 ... 15 20 13]
--------------------Missing rate = 0.1--------------------
Epoch 1 Loss:0.005118
Epoch 2 Loss:0.004523
Epoch 3 Loss:0.004457
Epoch 4 Loss:0.004403
Epoch 5 Loss:0.004395
Epoch 6 Loss:0.004352
Epoch 7 Loss:0.004371
Epoch 8 Loss:0.004328
Epoch 9 Loss:0.004302
Epoch 10 Loss:0.004308
Epoch 11 Loss:0.004309
Epoch 12 Loss:0.004318
Epoch 13 Loss:0.004288
Epoch 14 Loss:0.004279
Epoch 15 Loss:0.004246
Epoch 16 Loss:0.004270
Epoch 17 Loss:0.004245
Epoch 18 Loss:0.004260
Epoch 19 Loss:0.004219
Epoch 20 Loss:0.004193
Epoch 21 Loss:0.004249
Epoch 22 Loss:0.004237
Epoch 23 Loss:0.004246
Epoch 24 Loss:0.004172
Epoch 25 Loss:0.004199
Epoch 26 Loss:0.004208
Epoch 27 Loss:0.004181
Epoch 28 Loss:0.004158
Epoch 29 Loss:0.004152
Epoch 30 Loss:0.004163
Epoch 31 Loss:0.004179
Epoch 32 Loss:0.004167
Epoch 33 Loss:0.004129
Epoch 34 Loss:0.004151
Epoch 35 Loss:0.004146
Epoch 36 Loss:0.004152
Epoch 37 Loss:0.004113
Epoch 38 Loss:0.004117
Epoch 39 Loss:0.004130
Epoch 40 Loss:0.004138
Epoch 41 Loss:0.004106
Epoch 42 Loss:0.004094
Epoch 43 Loss:0.004110
Epoch 44 Loss:0.004125
Epoch 45 Loss:0.004103
Epoch 46 Loss:0.004043
Epoch 47 Loss:0.004068
Epoch 48 Loss:0.004059
Epoch 49 Loss:0.004077
Epoch 50 Loss:0.004065
Epoch 51 Loss:0.326565
Epoch 52 Loss:0.408083
Epoch 53 Loss:0.324144
Epoch 54 Loss:0.322270
Epoch 55 Loss:0.320732
Epoch 56 Loss:0.397339
Epoch 57 Loss:0.399560
Epoch 58 Loss:0.397945
Epoch 59 Loss:0.315032
Epoch 60 Loss:0.393880
Epoch 61 Loss:0.313087
Epoch 62 Loss:0.390209
Epoch 63 Loss:0.311270
Epoch 64 Loss:0.387576
Epoch 65 Loss:0.384925
Epoch 66 Loss:0.384815
Epoch 67 Loss:0.307905
Epoch 68 Loss:0.383019
Epoch 69 Loss:0.305908
Epoch 70 Loss:0.385362
Epoch 71 Loss:0.304210
Epoch 72 Loss:0.381411
Epoch 73 Loss:0.380635
Epoch 74 Loss:0.380162
Epoch 75 Loss:0.301596
Epoch 76 Loss:0.301059
Epoch 77 Loss:0.374212
Epoch 78 Loss:0.375470
Epoch 79 Loss:0.373618
Epoch 80 Loss:0.298504
Epoch 81 Loss:0.372534
Epoch 82 Loss:0.373311
Epoch 83 Loss:0.296651
Epoch 84 Loss:0.295868
