nohup: ignoring input
GPU: True
Data set: LandUse-21
MissRate: [0.1, 0.3, 0.5, 0.7]
shuffle
[ 1  1  1 ... 21 21 21]
[ 5  8 12 ... 15 20 13]
--------------------Missing rate = 0.1--------------------
Epoch 1 Loss:0.005118
Epoch 2 Loss:0.004523
Epoch 3 Loss:0.004457
Epoch 4 Loss:0.004403
Epoch 5 Loss:0.004395
Epoch 6 Loss:0.004352
Epoch 7 Loss:0.004371
Epoch 8 Loss:0.004328
Epoch 9 Loss:0.004302
Epoch 10 Loss:0.004308
Epoch 11 Loss:0.004309
Epoch 12 Loss:0.004318
Epoch 13 Loss:0.004288
Epoch 14 Loss:0.004279
Epoch 15 Loss:0.004246
Epoch 16 Loss:0.004270
Epoch 17 Loss:0.004245
Epoch 18 Loss:0.004260
Epoch 19 Loss:0.004219
Epoch 20 Loss:0.004193
Epoch 21 Loss:0.426950
Epoch 22 Loss:0.424498
Epoch 23 Loss:0.422015
Epoch 24 Loss:0.424524
Epoch 25 Loss:0.419776
Epoch 26 Loss:0.417061
Epoch 27 Loss:0.416222
Epoch 28 Loss:0.412134
Epoch 29 Loss:0.419123
Epoch 30 Loss:0.412629
Epoch 31 Loss:0.410159
Epoch 32 Loss:0.407437
Epoch 33 Loss:0.407658
Epoch 34 Loss:0.327110
Epoch 35 Loss:0.326289
Epoch 36 Loss:0.405273
Epoch 37 Loss:0.408986
Epoch 38 Loss:0.324466
Epoch 39 Loss:0.323629
Epoch 40 Loss:0.405911
Epoch 41 Loss:0.405639
Epoch 42 Loss:0.402967
Epoch 43 Loss:0.401267
Epoch 44 Loss:0.320818
Epoch 45 Loss:0.403429
Epoch 46 Loss:0.319609
Epoch 47 Loss:0.319268
Epoch 48 Loss:0.400169
Epoch 49 Loss:0.396054
Epoch 50 Loss:0.396325
Epoch 51 Loss:0.398424
Epoch 52 Loss:0.316723
Epoch 53 Loss:0.315698
Epoch 54 Loss:0.315423
Epoch 55 Loss:0.315210
Epoch 56 Loss:0.314396
Epoch 57 Loss:0.314165
Epoch 58 Loss:0.393877
Epoch 59 Loss:0.312865
Epoch 60 Loss:0.393971
Epoch 61 Loss:0.312532
Epoch 62 Loss:0.389012
Epoch 63 Loss:0.389038
Epoch 64 Loss:0.390656
Epoch 65 Loss:0.310260
Epoch 66 Loss:0.388883
Epoch 67 Loss:0.309255
Epoch 68 Loss:0.308874
Epoch 69 Loss:0.308758
Epoch 70 Loss:0.386718
Epoch 71 Loss:0.307542
Epoch 72 Loss:0.307162
Epoch 73 Loss:0.306759
Epoch 74 Loss:0.306007
Epoch 75 Loss:0.380673
Epoch 76 Loss:0.305911
Epoch 77 Loss:0.382362
Epoch 78 Loss:0.380306
Epoch 79 Loss:0.381028
Epoch 80 Loss:0.380818
Epoch 81 Loss:0.380255
Epoch 82 Loss:0.378154
Epoch 83 Loss:0.376086
Epoch 84 Loss:0.380389
