nohup: ignoring input
GPU: True
Data set: Scene-15
MissRate: [0.5]
shuffle
[ 1  1  1 ... 15 15 15]
[14  4 14 ...  2  7 14]
--------------------Missing rate = 0.5--------------------
Epoch 1 Loss:0.007761
Epoch 2 Loss:0.007334
Epoch 3 Loss:0.007262
Epoch 4 Loss:0.007211
Epoch 5 Loss:0.007170
Epoch 6 Loss:0.007125
Epoch 7 Loss:0.007094
Epoch 8 Loss:0.007051
Epoch 9 Loss:0.007016
Epoch 10 Loss:0.006978
Epoch 11 Loss:0.006946
Epoch 12 Loss:0.006906
Epoch 13 Loss:0.006872
Epoch 14 Loss:0.006834
Epoch 15 Loss:0.006801
Epoch 16 Loss:0.006761
Epoch 17 Loss:0.006729
Epoch 18 Loss:0.006696
Epoch 19 Loss:0.006662
Epoch 20 Loss:0.006629
Epoch 21 Loss:0.006599
Epoch 22 Loss:0.006562
Epoch 23 Loss:0.006526
Epoch 24 Loss:0.006498
Epoch 25 Loss:0.006463
Epoch 26 Loss:0.006432
Epoch 27 Loss:0.006399
Epoch 28 Loss:0.006370
Epoch 29 Loss:0.006333
Epoch 30 Loss:0.006305
Epoch 31 Loss:0.006273
Epoch 32 Loss:0.006245
Epoch 33 Loss:0.006207
Epoch 34 Loss:0.006177
Epoch 35 Loss:0.006148
Epoch 36 Loss:0.006115
Epoch 37 Loss:0.006086
Epoch 38 Loss:0.006052
Epoch 39 Loss:0.006020
Epoch 40 Loss:0.005993
Epoch 41 Loss:0.005960
Epoch 42 Loss:0.005932
Epoch 43 Loss:0.005900
Epoch 44 Loss:0.005869
Epoch 45 Loss:0.005840
Epoch 46 Loss:0.005813
Epoch 47 Loss:0.005782
Epoch 48 Loss:0.005755
Epoch 49 Loss:0.005724
Epoch 50 Loss:0.005695
Epoch 51 Loss:0.002182
Epoch 52 Loss:0.002107
Epoch 53 Loss:0.002031
Epoch 54 Loss:0.001983
Epoch 55 Loss:0.001957
Epoch 56 Loss:0.001943
Epoch 57 Loss:0.001929
Epoch 58 Loss:0.001920
Epoch 59 Loss:0.001915
Epoch 60 Loss:0.001912
Epoch 61 Loss:0.001905
Epoch 62 Loss:0.001901
Epoch 63 Loss:0.001901
Epoch 64 Loss:0.001899
Epoch 65 Loss:0.001893
Epoch 66 Loss:0.001891
Epoch 67 Loss:0.001890
Epoch 68 Loss:0.001892
Epoch 69 Loss:0.001891
Epoch 70 Loss:0.001888
Epoch 71 Loss:0.001889
Epoch 72 Loss:0.001886
Epoch 73 Loss:0.001886
Epoch 74 Loss:0.001883
Epoch 75 Loss:0.001880
Epoch 76 Loss:0.001878
Epoch 77 Loss:0.001879
Epoch 78 Loss:0.001877
Epoch 79 Loss:0.001878
Epoch 80 Loss:0.001876
Epoch 81 Loss:0.001877
Epoch 82 Loss:0.001876
Epoch 83 Loss:0.001873
Epoch 84 Loss:0.001869
Epoch 85 Loss:0.001872
Epoch 86 Loss:0.001872
Epoch 87 Loss:0.001871
Epoch 88 Loss:0.001872
Epoch 89 Loss:0.001868
Epoch 90 Loss:0.001867
Epoch 91 Loss:0.001865
Epoch 92 Loss:0.001865
Epoch 93 Loss:0.001866
Epoch 94 Loss:0.001866
Epoch 95 Loss:0.001864
Epoch 96 Loss:0.001862
Epoch 97 Loss:0.001864
Epoch 98 Loss:0.001863
Epoch 99 Loss:0.001864
Epoch 100 Loss:0.001859
Epoch 101 Loss:0.001857
Epoch 102 Loss:0.001858
Epoch 103 Loss:0.001858
Epoch 104 Loss:0.001856
Epoch 105 Loss:0.001859
Epoch 106 Loss:0.001861
Epoch 107 Loss:0.001860
Epoch 108 Loss:0.001857
Epoch 109 Loss:0.001859
Epoch 110 Loss:0.001862
Epoch 111 Loss:0.001862
Epoch 112 Loss:0.001867
Epoch 113 Loss:0.001873
Epoch 114 Loss:0.001878
Epoch 115 Loss:0.001879
Epoch 116 Loss:0.001882
Epoch 117 Loss:0.001891
Epoch 118 Loss:0.001894
Epoch 119 Loss:0.001903
Epoch 120 Loss:0.001926
Epoch 121 Loss:0.001955
Epoch 122 Loss:0.001959
Epoch 123 Loss:0.001940
Epoch 124 Loss:0.001931
Epoch 125 Loss:0.001925
Epoch 126 Loss:0.001920
Epoch 127 Loss:0.001916
Epoch 128 Loss:0.001913
Epoch 129 Loss:0.001903
Epoch 130 Loss:0.001904
---------------------------Result of Scene-15----------------------------
------------------------- MissRate = 0.50--------------------
K-meansClustering: ACC = 0.4250 NMI = 0.4362 ARI = 0.2426
Clustering: ACC = 0.4334 NMI = 0.4276 ARI = 0.2537 PUR = 0.4571
------------------------Training over------------------------
